,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,vengerovo,ru,55.68,76.74,54.86,16.13,63.0,20.0
1,adjumani,ug,3.38,31.79,65.12,2.93,98.0,32.0
2,pangai,to,-19.8,-174.35,77.0,9.17,69.0,40.0
3,eresos,gr,39.17,25.93,70.7,14.34,93.0,0.0
4,mushie,cd,-3.02,16.92,75.2,1.92,92.0,0.0
5,teahupoo,pf,-17.83,-149.27,84.2,8.05,58.0,20.0
6,quatre cocos,mu,-20.21,57.76,71.6,4.7,68.0,40.0
8,ulaangom,mn,49.98,92.07,36.68,2.59,41.0,0.0
10,chisec,gt,15.81,-90.29,71.33,1.81,100.0,64.0
11,monticello,us,33.63,-91.79,91.4,11.41,52.0,20.0
12,cuamba,mz,-14.8,36.54,55.76,5.17,94.0,0.0
13,neuquen,ar,-38.95,-68.06,42.8,5.82,70.0,0.0
14,astaneh-ye ashrafiyeh,ir,37.26,49.94,66.2,1.81,100.0,56.0
15,mengcheng,cn,33.26,116.57,73.85,4.72,78.0,0.0
17,olenegorsk,ru,68.14,33.28,45.05,4.61,63.0,80.0
18,haripur,in,30.52,77.84,64.4,2.82,67.0,0.0
19,nyurba,ru,63.29,118.35,65.75,7.63,43.0,8.0
20,coquimbo,cl,-29.95,-71.34,53.6,6.93,81.0,20.0
21,kavaratti,in,10.57,72.64,79.97,13.22,100.0,92.0
22,narasannapeta,in,18.42,84.04,79.61,2.26,99.0,24.0
23,tam ky,vn,15.57,108.48,82.4,4.7,78.0,20.0
24,costesti,ro,44.66,24.88,63.95,2.93,76.0,0.0
25,chimbote,pe,-9.08,-78.59,63.05,7.74,98.0,48.0
26,dingle,ie,52.14,-10.27,57.2,3.94,94.0,64.0
27,atherton,au,-17.27,145.48,75.2,14.99,53.0,20.0
28,nikolskoye,ru,59.7,30.79,42.8,2.24,60.0,20.0
29,ushuaia,ar,-54.81,-68.31,42.8,32.21,70.0,20.0
30,mason,us,39.36,-84.31,77.0,9.17,73.0,1.0
31,muros,es,42.77,-9.06,51.8,5.82,100.0,90.0
33,bang saphan,th,11.21,99.51,77.0,3.36,94.0,75.0
34,kaolinovo,bg,43.62,27.12,57.38,3.94,64.0,0.0
35,port alfred,za,-33.59,26.89,61.7,12.66,89.0,0.0
36,conde,br,-11.81,-37.61,77.45,9.19,83.0,44.0
37,tchaourou,bj,8.89,2.6,72.95,5.95,97.0,32.0
38,fort nelson,ca,58.81,-122.69,59.0,18.34,51.0,75.0
39,mahajanga,mg,-15.72,46.32,75.2,2.24,83.0,0.0
40,trinidad,uy,-33.52,-56.9,51.71,14.79,97.0,92.0
41,pitimbu,br,-7.47,-34.81,75.2,5.82,83.0,0.0
42,najran,sa,17.54,44.22,78.8,5.82,34.0,0.0
43,taoudenni,ml,22.68,-3.98,84.65,11.43,21.0,12.0
44,qaqortoq,gl,60.72,-46.03,44.6,2.24,65.0,36.0
45,valdez,ec,-1.98,-79.62,77.0,13.87,78.0,75.0
46,santa lucia,es,27.91,-15.54,66.2,20.8,68.0,40.0
47,diffa,ne,13.32,12.61,72.32,2.59,53.0,0.0
48,kovernino,ru,57.13,43.81,39.38,9.86,45.0,36.0
49,kavieng,pg,-2.57,150.8,79.43,8.63,100.0,68.0
50,kharan,pk,28.58,65.42,61.43,3.15,30.0,0.0
51,shingu,jp,33.72,135.99,69.8,12.75,64.0,75.0
52,kirakira,sb,-10.46,161.92,81.68,8.19,100.0,32.0
53,vung tau,vn,10.35,107.08,77.0,2.24,100.0,75.0
54,meadow lake,ca,54.13,-108.44,57.2,14.99,54.0,75.0
55,wanning,cn,18.8,110.4,85.55,3.94,99.0,0.0
56,cortez,us,37.35,-108.58,86.0,11.41,7.0,1.0
57,shetpe,kz,44.14,52.16,63.68,8.97,53.0,92.0
59,solnechnyy,ru,50.72,136.64,67.64,3.94,48.0,64.0
60,severo-kurilsk,ru,50.68,156.12,42.08,0.36,92.0,0.0
61,sinnamary,gf,5.38,-52.96,76.37,13.0,100.0,92.0
62,balkhash,kz,46.84,74.98,50.99,7.4,100.0,0.0
63,bubaque,gw,11.28,-15.83,78.8,3.36,74.0,0.0
64,atlantic beach,us,30.33,-81.4,82.4,8.05,94.0,75.0
65,terrace,ca,54.52,-128.61,62.6,17.22,36.0,90.0
67,maniwaki,ca,46.38,-75.98,70.25,8.41,92.0,80.0
68,voh,nc,-20.95,164.69,73.4,5.95,100.0,0.0
69,derzhavinsk,kz,51.1,66.31,60.62,23.51,41.0,12.0
70,swinoujscie,pl,53.91,14.25,69.8,6.93,60.0,0.0
71,graham,us,47.04,-122.28,64.4,4.7,71.0,75.0
72,alofi,nu,-19.06,-169.92,78.8,18.34,78.0,88.0
73,xinmin,cn,42.0,122.83,75.2,2.24,60.0,0.0
74,poum,nc,-20.23,164.02,73.58,9.42,100.0,0.0
75,iguatemi,br,-23.67,-54.56,71.15,11.43,61.0,0.0
76,zambrano,hn,14.27,-87.41,75.2,3.36,100.0,1.0
77,takab,ir,36.4,47.11,52.25,5.06,51.0,0.0
78,muli,mv,2.92,73.57,84.2,19.04,99.0,80.0
79,tianpeng,cn,28.88,112.34,66.02,6.51,100.0,88.0
81,la carolina,es,38.27,-3.62,52.25,2.48,76.0,0.0
82,scarborough,tt,11.18,-60.73,80.6,6.93,78.0,40.0
83,coxim,br,-18.5,-54.75,73.49,6.17,57.0,0.0
85,port-gentil,ga,-0.72,8.78,80.6,6.93,83.0,75.0
86,ulladulla,au,-35.36,150.48,53.6,16.11,58.0,75.0
87,fougeres,fr,48.35,-1.2,60.8,8.05,87.0,90.0
88,necochea,ar,-38.55,-58.74,46.67,12.55,81.0,56.0
89,sungaipenuh,id,-2.08,101.38,66.47,1.14,94.0,32.0
90,yuzhou,cn,34.16,113.47,73.4,2.24,69.0,8.0
91,geilo,no,60.53,8.21,52.25,2.37,100.0,44.0
93,kolokani,ml,13.58,-8.03,79.97,7.74,69.0,56.0
94,sangar,ru,63.92,127.47,51.35,5.17,56.0,0.0
95,dingli,mt,35.86,14.38,69.8,3.36,83.0,0.0
96,velika plana,rs,44.33,21.08,57.2,2.71,82.0,0.0
97,kuminskiy,ru,58.67,66.57,39.92,6.73,82.0,0.0
98,french harbor,hn,16.35,-86.43,84.2,23.04,74.0,75.0
99,belyy yar,ru,53.6,91.39,50.0,11.18,57.0,0.0
100,shizuishan,cn,39.02,106.36,59.9,3.94,49.0,88.0
101,evensk,ru,61.92,159.24,36.77,5.95,100.0,92.0
102,itoman,jp,26.12,127.67,78.8,10.29,83.0,1.0
103,sauk rapids,us,45.59,-94.17,82.4,6.93,57.0,40.0
104,okhotsk,ru,59.36,143.24,54.77,3.6,55.0,8.0
105,sooke,ca,48.37,-123.73,64.4,12.75,66.0,75.0
106,katrineholm,se,59.0,16.21,51.8,2.24,93.0,0.0
107,geraldton,au,-28.77,114.6,53.6,6.93,100.0,40.0
108,novopokrovka,ru,45.85,134.51,66.02,3.38,84.0,0.0
109,ushtobe,kz,45.25,77.98,46.94,3.15,55.0,76.0
110,millinocket,us,45.66,-68.71,84.2,4.7,35.0,1.0
112,lowestoft,gb,52.48,1.75,59.0,2.24,100.0,92.0
113,la reforma,mx,25.08,-108.06,96.8,9.17,30.0,5.0
114,damaturu,ng,11.75,11.96,72.68,3.38,71.0,0.0
115,tabou,ci,4.42,-7.36,81.05,7.52,100.0,56.0
116,gornopravdinsk,ru,60.06,69.92,48.02,4.94,97.0,92.0
